,Line_Lyrics,NumWords,Normalize_Lyrics
8213,no i aint got no money but im letting you know,11,aint got money but letting you know
8214,im gonna love you like a fool,7,gonna love you like fool
8215,and breathe you in till i hallucinate,7,and breathe you till hallucinate
8216,body make you silly make you do what i want,10,body make you silly make you what want
8217,oh baby i can make it pretty i can string you along,12,baby can make pretty can string you along
8218,im gonna love you like a fool,7,gonna love you like fool
8219,and breathe you in till i hallucinate,7,and breathe you till hallucinate
8220,no i couldnt live without your touch,7,couldnt live without your touch
8221,no i could never have too much,7,could never have too much
8222,ill breathe you in forever and ever,7,ill breathe you forever and ever
8223,hallucinate,1,hallucinate
8224,i hallucinate when you call my name,7,hallucinate when you call name
8225,got stars in my eyes,5,got stars eyes
8226,and they wont change when you come my way,9,and they wont change when you come way
8227,im losing my mi mi mi mind mi mi mi mind,11,losing mind mind
8228,im losing my mind,4,losing mind
8229,i hallucinate when you call my name,7,hallucinate when you call name
8230,put you in my hall of fame middle of the wall,11,put you hall fame middle the wall
8231,yeah youre my one my favourite my ride or die,10,yeah youre one favourite ride die
8232,oh im gonna love you like a fool,8,gonna love you like fool
8233,and breathe you in till i hallucinate,7,and breathe you till hallucinate
8234,cause i couldnt live without your touch,7,cause couldnt live without your touch
8235,i could never have too much,6,could never have too much
8236,ill breathe you in forever and ever,7,ill breathe you forever and ever
8237,hallucinate,1,hallucinate
8238,i hallucinate when you call my name,7,hallucinate when you call name
8239,got stars in my eyes,5,got stars eyes
8240,and they wont change when you come my way,9,and they wont change when you come way
8241,im losing my mi mi mi mind mi mi mi mind,11,losing mind mind
8242,im im losing my mind,5,losing mind
8243,i hallucinate when you call my name,7,hallucinate when you call name
8244,oh i wanna be right where you are,8,wanna right where you are
8245,lets go dancing in the dark,6,lets dancing the dark
8246,dont wait you can push to start lose control,9,dont wait you can push start lose control
8247,kill me softly with your kiss,6,kill softly with your kiss
8248,wrap me round your fingertips,5,wrap round your fingertips
8249,damn i need another hit,5,damn need another hit
8250,you make me lose my mind,6,you make lose mind
8251,when you call my name,5,when you call name
8252,got stars in my eyes,5,got stars eyes
8253,and they dont change when you come my way,9,and they dont change when you come way
8254,im losing my mi mi mi mind mi mi mi mind,11,losing mind mind
8255,im im losing my mind,5,losing mind
8256,i hallucinate when you call my name,7,hallucinate when you call name
8257,thereve been no lies theres been no wait in me,10,thereve been lies theres been wait
8258,dawn or night,3,dawn night
8259,tell me youll call,4,tell youll call
8260,tell me you waitin on my mind,7,tell you waitin mind
8261,tell me to wait tell me to love,8,tell wait tell love
8262,tell me to go,4,tell
8263,tell me ive been lost on my phone,8,tell ive been lost phone
8264,see you again see you again see you again,9,see you again see you again see you again
8265,have i been on my mind ,6,have been mind
8266,and ive been wasting time ,5,and ive been wasting time
8267,believing youll come back to me,6,believing youll come back
8268,i will fly with you,5,will fly with you
8269,if you aint happy now,5,you aint happy now
8270,i will fly with you,5,will fly with you
8271,and ive been waiting,4,and ive been waiting
8272,i will fly with you,5,will fly with you
8273,yeah fly with you,4,yeah fly with you
8274,see you again see you again,6,see you again see you again
8275,see you again,3,see you again
8276,i thought i had enough,5,thought had enough
8277,you could have enough,4,you could have enough
8278,and ive been waiting ill fly with you,8,and ive been waiting ill fly with you
8279,if you aint happy now,5,you aint happy now
8280,i will fly with you yeah,6,will fly with you yeah
8281,i know it s hot,5,know hot
8282,i know weve got,4,know weve got
8283,something that money can t buy,6,something that money can buy
8284,fighting in fits,3,fighting fits
8285,biting your lip,3,biting your lip
8286,loving til late in the night,6,loving til late the night
8287,tell me i m too crazy,6,tell too crazy
8288,you can t tame me cant tame me,8,you can tame cant tame
8289,tell me i have changed,5,tell have changed
8290,but i m the same me the same me,9,but the same the same
8291,inside,1,inside
8292,hey ,1,hey
8293,if you don t like the way i talk then why am i on your mind ,16,you don like the way talk then why your mind
8294,if you don t like the way i rock then finish your glass of wine,15,you don like the way rock then finish your glass wine
8295,we fight and we argue youll still love me blind,10,fight and argue youll still love blind
8296,if we don t fuck this whole thing up,9,don fuck this whole thing
8297,guaranteed i can blow your mind,6,guaranteed can blow your mind
8298,mwah ,1,mwah
8299,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8300,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
8301,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8302,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
8303,yeah im so bad,4,yeah bad
8304,best that you ve had,5,best that you had
8305,i guess you re diggin the show,7,guess you diggin the show
8306,open the door,3,open the door
8307,if you want some more,5,you want some more
8308,when you wanna leave let me know,7,when you wanna leave let know
8309,tell me i m too crazy,6,tell too crazy
8310,you can t tame me cant tame me,8,you can tame cant tame
8311,tell me i have changed,5,tell have changed
8312,but i m the same me the same me,9,but the same the same
8313,inside,1,inside
8314,hey ,1,hey
8315,if you don t like the way i talk then why am i on your mind ,16,you don like the way talk then why your mind
8316,if you don t like the way i rock then finish your glass of wine,15,you don like the way rock then finish your glass wine
8317,we fight and we argue youll still love me blind,10,fight and argue youll still love blind
8318,if we don t fuck this whole thing up,9,don fuck this whole thing
8319,guaranteed i can blow your mind,6,guaranteed can blow your mind
8320,mwah ,1,mwah
8321,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8322,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
8323,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8324,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
8325,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8326,guaranteed i can blow your mind mwah hey ,8,guaranteed can blow your mind mwah hey
8327,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8328,guaranteed i can blow your mind hey ,7,guaranteed can blow your mind hey
8329,tell me i m too crazy,6,tell too crazy
8330,you can t tame me cant tame me,8,you can tame cant tame
8331,tell me i have changed,5,tell have changed
8332,but i m the same me old same me,9,but the same old same
8333,inside,1,inside
8334,hey ,1,hey
8335,mwah ,1,mwah
8336,if you don t like the way i talk then why am i on your mind ,16,you don like the way talk then why your mind
8337,if you don t like the way i rock then finish your glass of wine,15,you don like the way rock then finish your glass wine
8338,we fight and we argue youll still love me blind,10,fight and argue youll still love blind
8339,if we don t fuck this whole thing up,9,don fuck this whole thing
8340,guaranteed i can blow your mind,6,guaranteed can blow your mind
8341,mwah ,1,mwah
8342,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8343,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
8344,and tonight i m alive aint no dollar sign,9,and tonight alive aint dollar sign
8345,guaranteed i can blow your mind mwah,7,guaranteed can blow your mind mwah
8346,woah oh oh oh oh oh,6,woah
8347,woah oh oh oh oh oh,6,woah
8348,woah oh oh oh oh oh,6,woah
8349,woah oh oh oh oh oh,6,woah
8350,woah oh oh oh oh oh ,6,woah
8351,woah oh oh oh oh oh,6,woah
8352,i left him it hurt bad,6,left him hurt bad
8353,letting go of what we had,6,letting what had
8354,but someone had to pull the trigger,7,but someone had pull the trigger
8355,shoot love dead it had to be me,8,shoot love dead had
8356,so baby pour me up pour me up ,8,baby pour pour
8357,i cant live with this unless im drunk,8,cant live with this unless drunk
8358,one for the night one for the road,8,one for the night one for the road
8359,im gonna drown myself in liquor to let go,9,gonna drown myself liquor let
8360,one for the night before they close,7,one for the night before they close
8361,to sooth the darkness all the darkness in my soul,10,sooth the darkness all the darkness soul
8362,one for the night,4,one for the night
8363,woah oh oh oh oh oh,6,woah
8364,woah oh oh oh oh oh,6,woah
8365,woah oh oh oh oh oh ,6,woah
8366,one more tonight,3,one more tonight
8367,woah oh oh oh oh oh,6,woah
8368,woah oh oh oh oh oh,6,woah
8369,woah oh oh oh oh oh ,6,woah
8370,thеy love me i love thеm ,6,thy love love thm
8371,i hurt them they come back again,7,hurt them they come back again
8372,keep telling me that i can solve their problems,9,keep telling that can solve their problems
8373,its always the same,4,its always the same
8374,so baby pour me up pour me up,8,baby pour pour
8375,i cant live with this unless im drunk,8,cant live with this unless drunk
8376,one for the night one for the road,8,one for the night one for the road
8377,im gonna drown myself in liquor to let go,9,gonna drown myself liquor let
8378,one for the night before they close,7,one for the night before they close
8379,to sooth the darkness all the darkness in my soul,10,sooth the darkness all the darkness soul
8380,one for the night,4,one for the night
8381,woah oh oh oh oh oh,6,woah
8382,woah oh oh oh oh oh,6,woah
8383,woah oh oh oh oh oh ,6,woah
8384,one more tonight,3,one more tonight
8385,woah oh oh oh oh oh,6,woah
8386,woah oh oh oh oh oh,6,woah
8387,woah oh oh oh oh oh ,6,woah
8388,blood on my hands cause im in love,8,blood hands cause love
8389,with more than one man and have to give one up,11,with more than one man and have give one
8390,charged guilty and light me up,6,charged guilty and light
8391,cause i cant choose the one i want,8,cause cant choose the one want
8392,one for the night one for the road,8,one for the night one for the road
8393,im gonna drown myself in liquor to let go,9,gonna drown myself liquor let
8394,one for the night before they close,7,one for the night before they close
8395,to sooth the darkness all the darkness in my soul,10,sooth the darkness all the darkness soul
8396,one for the night,4,one for the night
8397,woah oh oh oh oh oh,6,woah
8398,woah oh oh oh oh oh ,6,woah
8399,woah oh oh oh oh oh ,6,woah
8400,one more tonight,3,one more tonight
8401,woah oh oh oh oh oh,6,woah
8402,woah oh oh oh oh oh ,6,woah
8403,woah oh oh oh oh oh ,6,woah
8404,one for the night,4,one for the night
8405,woah oh oh oh oh oh ,6,woah
8406,woah oh oh oh oh oh,6,woah
8407,woah oh oh oh oh oh oh oh oh,9,woah
8408,one more tonight,3,one more tonight
8409,woah oh oh oh oh oh ,6,woah
8410,woah oh oh oh oh oh,6,woah
8411,woah oh oh oh oh oh,6,woah
8412,one one one one one ,5,one one one one one
8413,talkin in my sleep at night makin myself crazy,9,talkin sleep night makin myself crazy
8414,wrote it down and read it out hopin it would save me,12,wrote down and read out hopin would save
8415,my love he makes me feel like nobody else nobody else,11,love makes feel like nobody else nobody else
8416,but my love he doesnt love me so i tell myself i tell myself,14,but love doesnt love tell myself tell myself
8417,one dont pick up the phone,6,one dont pick the phone
8418,you know hes only callin cause hes drunk and alone,10,you know hes only callin cause hes drunk and alone
8419,two dont let him in,5,two dont let him
8420,youll have to kick him out again,7,youll have kick him out again
8421,three dont be his friend,5,three dont his friend
8422,you know youre gonna wake up in his bed in the morning,12,you know youre gonna wake his bed the morning
8423,and if youre under him you aint gettin over him,10,and youre under him you aint gettin over him
8424,i got new rules i count em,7,got new rules count
8425,rules i count em,4,rules count
8426,i gotta tell them to myself,6,gotta tell them myself
8427,i got new rules i count em,7,got new rules count
8428,i gotta tell them to myself,6,gotta tell them myself
8429,i keep pushin forwards but he keeps pullin me backwards,10,keep pushin forwards but keeps pullin backwards
8430,now im standin back from it i finally see the pattern,11,now standin back from finally see the pattern
8431,but my love he doesnt love me so i tell myself i tell myself,14,but love doesnt love tell myself tell myself
8432,i do i do i do,6,
8433,one dont pick up the phone,6,one dont pick the phone
8434,you know hes only callin cause hes drunk and alone,10,you know hes only callin cause hes drunk and alone
8435,two dont let him in,5,two dont let him
8436,youll have to kick him out again,7,youll have kick him out again
8437,three dont be his friend,5,three dont his friend
8438,you know youre gonna wake up in his bed in the morning,12,you know youre gonna wake his bed the morning
8439,and if youre under him you aint gettin over him,10,and youre under him you aint gettin over him
8440,i got new rules i count em,7,got new rules count
8441,rules i count em,4,rules count
8442,i gotta tell them to myself,6,gotta tell them myself
8443,i got new rules i count em,7,got new rules count
8444,i gotta tell them to myself,6,gotta tell them myself
8445,practice makes perfect,3,practice makes perfect
8446,im still tryna learn it by heart ,7,still tryna learn heart
8447,eat sleep and breathe it,5,eat sleep and breathe
8448,rehearse and repeat it cause i ,6,rehearse and repeat cause
8449,one dont pick up the phone ,6,one dont pick the phone
8450,you know hes only callin cause hes drunk and alone ,10,you know hes only callin cause hes drunk and alone
8451,two dont let him in ,5,two dont let him
8452,youll have to kick him out again ,7,youll have kick him out again
8453,three dont be his friend,5,three dont his friend
8454,you know youre gonna wake up in his bed in the morning,12,you know youre gonna wake his bed the morning
8455,and if youre under him you aint gettin over him,10,and youre under him you aint gettin over him
8456,i got new rules i count em ,7,got new rules count
8457,i gotta tell them to myself,6,gotta tell them myself
8458,i got new rules i count em,7,got new rules count
8459,i gotta tell them to myself,6,gotta tell them myself
8460,dont let him in dont let him in,8,dont let him dont let him
8461,dont dont dont dont ,4,dont dont dont dont
8462,dont be his friend dont be his friend,8,dont his friend dont his friend
8463,dont dont dont dont ,4,dont dont dont dont
8464,dont let him in dont let him in,8,dont let him dont let him
8465,dont dont dont dont ,4,dont dont dont dont
8466,dont be his friend dont be his friend,8,dont his friend dont his friend
8467,dont dont dont dont ,4,dont dont dont dont
8468,youre gettin over him,4,youre gettin over him
8469,stayin up til the a m,6,stayin til the
8470,call you out on all your bullshit,7,call you out all your bullshit
8471,whenever its convenient for ya,5,whenever its convenient for
8472,you remember all the good stuff,6,you remember all the good stuff
8473,it was sweet before the fall,6,was sweet before the fall
8474,you and i got comfortable quick,6,you and got comfortable quick
8475,but whenever its convenient for ya,6,but whenever its convenient for
8476,you remember all the good stuff,6,you remember all the good stuff
8477,you are forgetting we fell apart,6,you are forgetting fell apart
8478,i mean look where we are,6,mean look where are
8479,you are remembering everything wrong,5,you are remembering everything wrong
8480,you remember it wrong,4,you remember wrong
8481,if you want me cause you heard somebody mention my name,11,you want cause you heard somebody mention name
8482,and you wanna know if we can act like nothing has changed,12,and you wanna know can act like nothing has changed
8483,wrong number ,2,wrong number
8484,you got the wrong number,5,you got the wrong number
8485,if youre callin because i happen to dance in your mind,11,youre callin because happen dance your mind
8486,and you wanna feel the way i made you feel one more time,13,and you wanna feel the way made you feel one more time
8487,wrong number ,2,wrong number
8488,you got the wrong number,5,you got the wrong number
8489,when youre thinking of the end,6,when youre thinking the end
8490,youre only hearin me say i love ya,8,youre only hearin say love
8491,you dont hear the door you slammed after,8,you dont hear the door you slammed after
8492,you remember all the good stuff,6,you remember all the good stuff
8493,you are forgetting we fell apart,6,you are forgetting fell apart
8494,i mean look where we are,6,mean look where are
8495,you are remembering everything wrong,5,you are remembering everything wrong
8496,you remember it wrong,4,you remember wrong
8497,if you want me cause you heard somebody mention my name,11,you want cause you heard somebody mention name
8498,and you wanna know if we can act like nothing has changed,12,and you wanna know can act like nothing has changed
8499,wrong number ,2,wrong number
8500,you got the wrong number,5,you got the wrong number
8501,if youre callin because i happen to dance in your mind,11,youre callin because happen dance your mind
8502,and you wanna feel the way i made you feel one more time,13,and you wanna feel the way made you feel one more time
8503,wrong number ,2,wrong number
8504,you got the wrong number,5,you got the wrong number
8505,if you want me cause you heard somebody mention my name,11,you want cause you heard somebody mention name
8506,and you wanna know if we can act like nothing has changed,12,and you wanna know can act like nothing has changed
8507,wrong number ,2,wrong number
8508,wrong number ,2,wrong number
8509,if youre callin because i happen to dance in your mind,11,youre callin because happen dance your mind
8510,and you wanna feel the way i made you feel one more time,13,and you wanna feel the way made you feel one more time
8511,wrong number ,2,wrong number
8512,you got the wrong number,5,you got the wrong number
8513,let me take the night i love real easy,9,let take the night love real easy
8514,and i know that youll still wanna see me,9,and know that youll still wanna see
8515,on the sunday morning music real loud,7,the sunday morning music real loud
8516,let me love you while the moon is still out,10,let love you while the moon still out
8517,something in you lit up heaven in me,8,something you lit heaven
8518,the feeling wont let me sleep,6,the feeling wont let sleep
8519,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
8520,one kiss is all it takes,6,one kiss all takes
8521,fallin in love with me,5,fallin love with
8522,possibilities,1,possibilities
8523,i look like all you need,6,look like all you need
8524,one kiss is all it takes,6,one kiss all takes
8525,fallin in love with me,5,fallin love with
8526,possibilities,1,possibilities
8527,i look like all you need,6,look like all you need
8528,one,1,one
8529,one,1,one
8530,i look like all you need,6,look like all you need
8531,i look like all you need,6,look like all you need
8532,i just wanna feel your skin on mine,8,just wanna feel your skin mine
8533,feel your eyes do the exploring,6,feel your eyes the exploring
8534,passion in the message when you smile,7,passion the message when you smile
8535,take my time,3,take time
8536,something in you lit up heaven in me,8,something you lit heaven
8537,the feeling wont let me sleep,6,the feeling wont let sleep
8538,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
8539,one kiss is all it takes,6,one kiss all takes
8540,fallin in love with me,5,fallin love with
8541,possibilities,1,possibilities
8542,i look like all you need,6,look like all you need
8543,one kiss is all it takes,6,one kiss all takes
8544,fallin in love with me,5,fallin love with
8545,possibilities,1,possibilities
8546,i look like all you need,6,look like all you need
8547,one,1,one
8548,one,1,one
8549,i look like all you need,6,look like all you need
8550,i look like all you need,6,look like all you need
8551,part 1 masseduction,3,part masseduction
8552,black saint sinner lady,4,black saint sinner lady
8553,playin knock off soul,4,playin knock off soul
8554,a punk rock romantic,4,punk rock romantic
8555,slumped on the kitchen floor,5,slumped the kitchen floor
8556,nuns in stress positions,4,nuns stress positions
8557,smokin marlboros,2,smokin marlboros
8558,lolita is weeping,3,lolita weeping
8559,the bride is beautiful,4,the bride beautiful
8560,mass seduction,2,mass seduction
8561,mass seduction,2,mass seduction
8562,i cant turn off what turns me on,8,cant turn off what turns
8563,mass seduction,2,mass seduction
8564,i cant turn off what turns me on,8,cant turn off what turns
8565,mass seduction,2,mass seduction
8566,i hold you like a weapon,6,hold you like weapon
8567,mass destruction,2,mass destruction
8568,dont turn off what turns me on,7,dont turn off what turns
8569,mass seduction,2,mass seduction
8570,i cant turn off what turns me on,8,cant turn off what turns
8571,mass seduction,2,mass seduction
8572,i cant turn off what turns me on,8,cant turn off what turns
8573,mass seduction,2,mass seduction
8574,i hold you like a weapon,6,hold you like weapon
8575,mass destruction,2,mass destruction
8576,dont turn off what turns me on,7,dont turn off what turns
8577,part 2 respect,3,part respect
8578,all i need,3,all need
8579,r e s p e c t,7,
8580,find out what it means to me,7,find out what means
8581,r e s p e c t,7,
8582,find out what it means to me,7,find out what means
8583,r e s p e c t,7,
8584,sock it to me sock it to me,8,sock sock
8585,part 3 one kiss,4,part one kiss
8586,let me take the night i love real easy,9,let take the night love real easy
8587,and i know that youll still wanna see me,9,and know that youll still wanna see
8588,on the sunday morning music real loud,7,the sunday morning music real loud
8589,let me love you while the moon is still out,10,let love you while the moon still out
8590,something in you ou ou lit up heaven in me e e,12,something you lit heaven
8591,the feeling wont let me slee ee eep,8,the feeling wont let slee eep
8592,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
8593,one kiss is all it takes,6,one kiss all takes
8594,fallin in love with me,5,fallin love with
8595,possibilities,1,possibilities
8596,i look like all you need,6,look like all you need
8597,one kiss is all it takes,6,one kiss all takes
8598,fallin in love with me,5,fallin love with
8599,possibilities,1,possibilities
8600,i look like all you need,6,look like all you need
8601,i look like all you need,6,look like all you need
8602,something in you ou ou lit up heaven in me e e,12,something you lit heaven
8603,the feeling wont let me slee ee eep,8,the feeling wont let slee eep
8604,cause im lost in the way you move the way you feel,12,cause lost the way you move the way you feel
8605,mass seduction,2,mass seduction
8606,one kiss is all it takes,6,one kiss all takes
8607,mass seduction,2,mass seduction
8608,one kiss is all it takes,6,one kiss all takes
8609,mass seduction,2,mass seduction
8610,one kiss is all it takes,6,one kiss all takes
8611,possibilities,1,possibilities
8612,i look like all you need,6,look like all you need
8613,i see the lights dancing dancing in your eyes,9,see the lights dancing dancing your eyes
8614,so how do i begin to tell you now,9,how begin tell you now
8615,that i can be the one to bring your angel out ,11,that can the one bring your angel out
8616,in this life of sin,5,this life sin
8617,i can be your muse i can be your ally,10,can your muse can your ally
8618,i can be your moon i can be your sacrifice,10,can your moon can your sacrifice
8619,i can be forever little touch of heaven tonight,9,can forever little touch heaven tonight
8620,put your hands together and close your eyes,8,put your hands together and close your eyes
8621,tell me you believe get down on your knees,9,tell you believe get down your knees
8622,they say love is religion so say a prayer with me,11,they say love religion say prayer with
8623,i dont wanna preach but im all that you need,10,dont wanna preach but all that you need
8624,they say love is religion so say a prayer with me,11,they say love religion say prayer with
8625,they say love is religion,5,they say love religion
8626,theres a fire rising in my heart like a choir,10,theres fire rising heart like choir
8627,i can hear them singing our favourite song,8,can hear them singing our favourite song
8628,the one that played while i was layin in your arms,11,the one that played while was layin your arms
8629,just let me stay in your arms cause,8,just let stay your arms cause
8630,i can be your gold i can be your delight,10,can your gold can your delight
8631,i can be feed your soul i can be your sacrifice,11,can feed your soul can your sacrifice
8632,i can be forever little touch of heaven for life,10,can forever little touch heaven for life
8633,put your hands together and close your eyes,8,put your hands together and close your eyes
8634,tell me you believe get down on your knees,9,tell you believe get down your knees
8635,they say love is religion so say a prayer with me,11,they say love religion say prayer with
8636,i dont wanna preach but im all that you need,10,dont wanna preach but all that you need
8637,they say love is religion so say a prayer with me,11,they say love religion say prayer with
8638, put your hands together and close your eyes,8,put your hands together and close your eyes
8639, put your hands together and close your eyes,8,put your hands together and close your eyes
8640, put your hands together and close your eyes,8,put your hands together and close your eyes
8641, put your hands together and close your eyes,8,put your hands together and close your eyes
8642,they say love is religion,5,they say love religion
8643,they say love is religion,5,they say love religion
8644,they say love is religion,5,they say love religion
8645,they say love is religion,5,they say love religion
8646,they say love is religion,5,they say love religion
8647,they say love is religion,5,they say love religion
8648,they say love is religion,5,they say love religion
8649,they say love is religion,5,they say love religion
8650,yeah lets get to the point here,7,yeah lets get the point here
8651,you love to disappoint me dont ya ,7,you love disappoint dont
8652,you tell me what i want but aint no follow through,11,you tell what want but aint follow through
8653,you dont follow through no,5,you dont follow through
8654,but if you only knew me,6,but you only knew
8655,the way you know my body baby,7,the way you know body baby
8656,then i think maybe we could probably see this through,10,then think maybe could probably see this through
8657,we could make it through but,6,could make through but
8658,ive been thinking itd be better,6,ive been thinking itd better
8659,if we didnt know each other,6,didnt know each other
8660,then you go and make me feel okay,8,then you and make feel okay
8661,got me thinking itd be better,6,got thinking itd better
8662,if we didnt stay together,5,didnt stay together
8663,then you put your hands up on my ,8,then you put your hands
8664,i know its really bad bad bad bad bad,9,know its really bad bad bad bad bad
8665,messing with my head head head head hеad,8,messing with head head head head had
8666,we drive each othеr mad mad mad mad mad,9,drive each othr mad mad mad mad mad
8667,but baby thats what makes us good in bed,9,but baby thats what makes good bed
8668,please come take it out on me me me me me,11,please come take out
8669,i know its really bad bad bad bad,8,know its really bad bad bad bad
8670,but baby thats what makes us good in bed,9,but baby thats what makes good bed
8671,its bad,2,its bad
8672,we drive each other mad,5,drive each other mad
8673,it might be kinda sad,5,might kinda sad
8674,but i think thats what makes us good in bed,10,but think thats what makes good bed
8675,i dedicate this verse to,5,dedicate this verse
8676,all that good pipe in the moonlight,7,all that good pipe the moonlight
8677,in the long nights where we did everything but talk it through,12,the long nights where did everything but talk through
8678,thats what we do yeah,5,thats what yeah
8679,you always let me down boy,6,you always let down boy
8680,but when youre going down i get so up,9,but when youre going down get
8681,dont know if i can find someone who do me like you do,13,dont know can find someone who like you
8682,ive been thinking itd be better,6,ive been thinking itd better
8683,if we didnt know each other,6,didnt know each other
8684,then you go and make me feel okay,8,then you and make feel okay
8685,got me thinking itd be better,6,got thinking itd better
8686,if we didnt stay together,5,didnt stay together
8687,then you put your hands up on my waist,9,then you put your hands waist
8688,i know its really bad bad bad bad bad,9,know its really bad bad bad bad bad
8689,messing with my head head head head head,8,messing with head head head head head
8690,we drive each other mad mad mad mad mad,9,drive each other mad mad mad mad mad
8691,but baby thats what makes us good in bed,9,but baby thats what makes good bed
8692,please come take it out on me me me me me,11,please come take out
8693,i know its really bad bad bad bad,8,know its really bad bad bad bad
8694,but baby thats what makes us good in bed,9,but baby thats what makes good bed
8695,its bad,2,its bad
8696,we drive each other mad,5,drive each other mad
8697,it might be kinda sad,5,might kinda sad
8698,but i think thats what makes us good in bed,10,but think thats what makes good bed
8699,yeah we dont know how to talk,7,yeah dont know how talk
8700,but damn we know how to fu ,7,but damn know how
8701,hey whats going on this is mark ronson,8,hey whats going this mark ronson
8702,aka mark the spark aka spark ronson,7,aka mark the spark aka spark ronson
8703,aka dj old davis,4,aka old davis
8704,i have a special request,5,have special request
8705,i would love to hear buffalo stance by neneh cherry,10,would love hear buffalo stance neneh cherry
8706,and uh one more thing,5,and one more thing
8707,dont you get fresh with me,6,dont you get fresh with
8708,mmm,1,mmm
8709,woo yeah,2,woo yeah
8710,dj,1,
8711,whos that gigolo on the street,6,whos that gigolo the street
8712,with his hands in his pockets and his crocodile feet ,10,with his hands his pockets and his crocodile feet
8713,hanging off the curb looking all disturbed,7,hanging off the curb looking all disturbed
8714,and the boys from home they all came running,9,and the boys from home they all came running
8715,they were making noise manhandling toys,6,they were making noise manhandling toys
8716,theres the girls on the block with the nasty curls,10,theres the girls the block with the nasty curls
8717,wearing padded bras sucking beers through straws,7,wearing padded bras sucking beers through straws
8718,dropping down their drawers where did you get yours ,9,dropping down their drawers where did you get yours
8719,gigolo,1,gigolo
8720,huh sucka ,2,huh sucka
8721,gigolo gigolo,2,gigolo gigolo
8722,huh sucka ,2,huh sucka
8723,gigolo,1,gigolo
8724,but damn we know how to fu ,7,but damn know how
8725,look at us lookin out out the world through glass,10,look lookin out out the world through glass
8726,while the hands on the clock spin around too fast,10,while the hands the clock spin around too fast
8727,gotta say ive had enough,5,gotta say ive had enough
8728,time to live at last,5,time live last
8729,eh eh eh eh,4,
8730,lose yourself for a night,5,lose yourself for night
8731,make your own mistakes,4,make your own mistakes
8732,speak the words on your mind,6,speak the words your mind
8733,that you never say,4,that you never say
8734,whats a day without a risk ,6,whats day without risk
8735,do it differently,3,differently
8736,if youre waiting for the right time baby,8,youre waiting for the right time baby
8737,youll be waiting for a lifetime for too long,9,youll waiting for lifetime for too long
8738,got a feeling nows the right time baby,8,got feeling nows the right time baby
8739,i wanna do more ,4,wanna more
8740,i wanna do everything ive ever dreamed of,8,wanna everything ive ever dreamed
8741,i wanna do more ,4,wanna more
8742,i aint worried bout anybody else because,7,aint worried bout anybody else because
8743,i wanna do more,4,wanna more
8744, more,1,more
8745, more,1,more
8746,i wanna do more ,4,wanna more
8747,finally i can see what my heart needs now,9,finally can see what heart needs now
8748,hold my hand dance with me we can paint this town,11,hold hand dance with can paint this town
8749,what are we waiting for ,5,what are waiting for
8750,time to live out loud ,5,time live out loud
8751,if youre waiting for the right time baby,8,youre waiting for the right time baby
8752,youll be waiting for a lifetime for too long,9,youll waiting for lifetime for too long
8753,got a feeling nows the right time baby,8,got feeling nows the right time baby
8754,i wanna do more ,4,wanna more
8755,i wanna do everything ive ever dreamed of,8,wanna everything ive ever dreamed
8756,i wanna do more ,4,wanna more
8757,i aint worried bout anybody else because,7,aint worried bout anybody else because
8758,i wanna do more,4,wanna more
8759, more,1,more
8760, more,1,more
8761,i wanna do more ,4,wanna more
8762,i dont wanna be that i dont wanna be that,10,dont wanna that dont wanna that
8763,favorite drunken call,3,favorite drunken call
8764,oh say you will be mine,6,say you will mine
8765,say you will be mine,5,say you will mine
8766,i wanna do more ,4,wanna more
8767,i wanna do everything ive ever dreamed of,8,wanna everything ive ever dreamed
8768,i wanna do more ,4,wanna more
8769,i aint worried bout anybody else because,7,aint worried bout anybody else because
8770,i wanna do more,4,wanna more
8771, more,1,more
8772, more,1,more
8773,i wanna do more,4,wanna more
8774,he calls me the devil,5,calls the devil
8775,i make him wanna sin,5,make him wanna sin
8776,every time i knock he cant help but let me in,11,every time knock cant help but let
8777,must be homesick for the real,6,must homesick for the real
8778,im the realest it gets,5,the realest gets
8779,you probably still adore me,5,you probably still adore
8780,with my hands around your neck,6,with hands around your neck
8781,can you feel the warmth yeah,6,can you feel the warmth yeah
8782,as my kiss goes down you like some sweet alcohol,10,kiss goes down you like some sweet alcohol
8783,where im coming from yeah,5,where coming from yeah
8784,its the darker side of me that makes you feel so numb,12,its the darker side that makes you feel numb
